name,city,iata,icao,lat,lng
Herat Airport,Herat,HEA,OAHR,34.21,62.2283
Jalalabad Airport,Jalalabad,JAA,OAJL,34.3998,70.4986
Kabul International Airport,Kabul,KBL,OAKB,34.5659,69.2123
Kandahar Airport,Kandahar,KDH,OAKN,31.5058,65.8478
Maimana Airport,Maimama,MMZ,OAMN,35.9308,64.7609
Mazar I Sharif Airport,Mazar-i-sharif,MZR,OAMS,36.7069,67.2097
Shindand Airport,Shindand,,OASD,33.3913,62.261
Sheberghan Airport,Sheberghan,,OASG,36.7508,65.9132
Konduz Airport,Kunduz,UND,OAUZ,36.6651,68.9108
Fayzabad Airport,Faizabad,FBD,OAFZ,37.1211,70.5181
Bagram Air Base,Kabul,,OAIX,34.9461,69.265
Tarin Kowt Airport,Tarin Kowt,TII,OATN,32.6042,65.8658
Zaranj Airport,Zaranj,ZAJ,OAZJ,30.9722,61.8658
Chakcharan Airport,Chaghcharan,CCN,OACC,34.533,65.267
Camp Bastion Airport,Camp Bastion,,OAZI,31.8638,64.2246
Khost Airport,Khost,KHT,OAKS,33.3334,69.952
Sharana Airstrip,Sharona,AZ3,OASA,33.1258,68.8385
Bost Airport,Lashkar Gah,BST,OABT,31.5597,64.365
Bamiyan Airport,Bamyan,BIN,OABN,34.817,67.817
Farah Airport,Farah,FAH,OAFR,32.367,62.183
Tirana International Airport Mother Teresa,Tirana,TIA,LATI,41.4147,19.7206
Gjadër Air Base,Gjadër,,LAGJ,41.8952,19.5987
Kukës Airport,Kukës,,LAKU,42.0337,20.4159
Kuçovë Air Base,Kuçovë,,LAKV,40.7719,19.9019
Vlorë Air Base,Vlorë,,LAVL,40.4761,19.4742
Blida Airport,Blida,,DAAB,36.5036,2.8142
Bou Saada Airport,Bou Saada,,DAAD,35.3325,4.2064
Soummam Airport,Bejaja,BJA,DAAE,36.712,5.0699
Houari Boumediene Airport,Algier,ALG,DAAG,36.691,3.2154
Djanet Inedbirene Airport,Djanet,DJG,DAAJ,24.2928,9.4524
Boufarik Airport,Boufarik,QFD,DAAK,36.5458,2.8761
Reggane Airport,Reggan,,DAAN,26.7101,0.2856
Illizi Takhamalt Airport,Illizi,VVZ,DAAP,26.7235,8.6227
Ain Oussera Airport,Ain Oussera,,DAAQ,35.5254,2.8787
Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,TMR,DAAT,22.8115,5.4511
Jijel Ferhat Abbas Airport,Jijel,GJL,DAAV,36.7951,5.8736
Mecheria Airport,Mecheria,,DAAY,33.5359,-0.2424
Relizane Airport,Relizane,,DAAZ,35.7522,0.6263
Annaba Airport,Annaba,AAE,DABB,36.8222,7.8092
Mohamed Boudiaf International Airport,Constantine,CZL,DABC,36.276,6.6204
Cheikh Larbi Tébessi Airport,Tebessa,TEE,DABS,35.4316,8.1207
Hassi R'Mel Airport,Tilrempt,HRM,DAFH,32.9304,3.3115
Bou Chekif Airport,Tiaret,TID,DAOB,35.3411,1.4632
Bou Sfer Airport,Bou Sfer,,DAOE,35.7354,-0.8054
Tindouf Airport,Tindouf,TIN,DAOF,27.7004,-8.1671
Ech Cheliff Airport,Ech-cheliff,QAS,DAOI,36.2127,1.3318
Tafaraoui Airport,Oran,TAF,DAOL,35.5424,-0.5323
Zenata – Messali El Hadj Airport,Tlemcen,TLM,DAON,35.0167,-1.45
Es Senia Airport,Oran,ORN,DAOO,35.6239,-0.6212
Sidi Bel Abbes Airport,Sidi Bel Abbes,,DAOS,35.1718,-0.5933
Ghriss Airport,Ghriss,MUW,DAOV,35.2077,0.1471
Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,AZR,DAUA,27.8376,-0.1864
Biskra Airport,Biskra,BSK,DAUB,34.7933,5.7382
El Golea Airport,El Golea,ELG,DAUE,30.5713,2.8596
Noumérat - Moufdi Zakaria Airport,Ghardaia,GHA,DAUG,32.3841,3.7941
Oued Irara Airport,Hassi Messaoud,HME,DAUH,31.673,6.1404
In Salah Airport,In Salah,INZ,DAUI,27.251,2.512
Touggourt Sidi Madhi Airport,Touggourt,TGR,DAUK,33.0678,6.0887
Laghouat Airport,Laghouat,LOO,DAUL,33.7644,2.9283
Timimoun Airport,Timimoun,TMX,DAUT,29.2371,0.276
Ain el Beida Airport,Ouargla,OGX,DAUU,31.9172,5.4128
In Aménas Airport,Zarzaitine,IAM,DAUZ,28.0515,9.6429
Batna Airport,Batna,BLJ,DABT,35.7521,6.3086
Béchar Boudghene Ben Ali Lotfi Airport,Béchar,CBH,DAOR,31.6457,-2.2699
Bordj Badji Mokhtar Airport,Bordj Badji Mokhtar,BMW,DATM,21.375,0.9239
Guemar Airport,Guemar,ELU,DAUO,33.5114,6.7768
Ain Arnat Airport,Setif,QSF,DAAS,36.1781,5.3245
Tsletsi Airport,Djelfa,QDJ,DAFI,34.6657,3.351
Pago Pago International Airport,Pago Pago,PPG,NSTU,-14.331,-170.71
Fitiuta Airport,Fiti\\'uta,FTI,NSFQ,-14.2172,-169.425
Ofu Airport,Ofu,OFU,,-14.1844,-169.67
Mbanza Congo Airport,M'banza-congo,SSY,FNBC,-6.2699,14.247
Benguela Airport,Benguela,BUG,FNBG,-12.609,13.4037
Cabinda Airport,Cabinda,CAB,FNCA,-5.597,12.1884
Nova Lisboa Airport,Huambo,NOV,FNHU,-12.8089,15.7605
Kuito Airport,Kuito,SVP,FNKU,-12.4046,16.9474
Lobito Airport,Lobito,,FNLB,-12.3712,13.5366
Quatro de Fevereiro Airport,Luanda,LAD,FNLU,-8.8584,13.2312
Malanje Airport,Malanje,MEG,FNMA,-9.5251,16.3124
Menongue Airport,Menongue,SPP,FNME,-14.6576,17.7198
Negage Airport,Negage,GXG,FNNG,-7.7545,15.2877
Porto Amboim Airport,Porto Amboim,PBN,FNPA,-10.722,13.7655
Saurimo Airport,Saurimo,VHC,FNSA,-9.6891,20.4319
Soyo Airport,Soyo,SZA,FNSO,-6.1411,12.3718
Lubango Airport,Lubango,SDD,FNUB,-14.9247,13.575
Luena Airport,Luena,LUO,FNUE,-11.7681,19.8977
Uige Airport,Uige,UGO,FNUG,-7.6031,15.0278
Xangongo Airport,Xangongo,XGN,FNXA,-16.7554,14.9653
Catumbela Airport,Catumbela,CBT,FNCT,-12.4792,13.4869
Dundo Airport,Dundo,DUE,FNDU,-7.4009,20.8185
Ngjiva Pereira Airport,Ondjiva,VPE,FNGI,-17.0435,15.6838
Namibe Airport,Mocamedes,MSZ,FNMO,-15.2612,12.1468
Nzagi Airport,Nzagi,NZA,FNZG,-7.7169,21.3582
Lucapa Airport,Lucapa,LBZ,FNLK,-8.4457,20.7321
Kapanda Airport,Kapanda,KNP,FNCP,-9.7719,15.4561
Sumbe Airport,Sumbe,NDD,FNSU,-11.1679,13.8475
Wallblake Airport,The Valley,AXA,TQPF,18.2048,-63.0551
South Pole Station Airport,Stephen's Island,,NZSP,-90,0
Williams Field,Weydon,,NZWD,-77.8674,167.057
Marambio Base,Marambio Base,,SAWB,-64.2383,-56.6308
Teniente Rodolfo Marsh Martin Base,Isla Rey Jorge,,SCRM,-62.1908,-58.9867
Wilkins Runway,Budd Coast,,YWKS,-66.6908,111.5236
McMurdo Station Ice Runway,Ross Island,,NZIR,-77.854,166.469
McMurdo Station Pegasus Field,McMurdo Station,,NZPG,-77.9634,166.525
V.C. Bird International Airport,Antigua,ANU,TAPA,17.1367,-61.7927
Codrington Airport,Codrington,BBQ,TAPH,17.6358,-61.8286
Comodoro Pierrestegui Airport,Concordia,COC,SAAC,-31.2969,-57.9966
Gualeguaychu Airport,Gualeguaychu,GHU,SAAG,-33.0103,-58.6131
Junin Airport,Junin,,SAAJ,-34.5459,-60.9306
General Urquiza Airport,Parana,PRA,SAAP,-31.7948,-60.4804
Islas Malvinas Airport,Rosario,ROS,SAAR,-32.9036,-60.785
Sauce Viejo Airport,Santa Fe,SFN,SAAV,-31.7117,-60.8117
Jorge Newbery Airpark,Buenos Aires,AEP,SABE,-34.5592,-58.4156
Ingeniero Ambrosio Taravella Airport,Cordoba,COR,SACO,-31.3236,-64.208
Chamical Airport,Gobernador Gordillo,,SACT,-30.3453,-66.2936
San Fernando Airport,San Fernando,,SADF,-34.4532,-58.5896
Mariano Moreno Airport,Jose C. Paz,,SADJ,-34.5606,-58.7896
La Plata Airport,La Plata,LPG,SADL,-34.9722,-57.8947
Moron Airport,Moron,,SADM,-34.6763,-58.6428
El Palomar Airport,El Palomar,,SADP,-34.6099,-58.6126
Chos Malal Airport,Chosmadal,,SAHC,-37.4447,-70.2225
Dr. Arturo H. Illia Airport,Fuerte Gral Roca,,SAHR,-39.0007,-67.6205
El Plumerillo Airport,Mendoza,MDZ,SAME,-32.8317,-68.7929
Comodoro D.R. Salomón Airport,Malargue,LGS,SAMM,-35.4936,-69.5743
Suboficial Ay Santiago Germano Airport,San Rafael,AFA,SAMR,-34.5883,-68.4039
Catamarca Airport,Catamarca,CTC,SANC,-28.5956,-65.7517
Vicecomodoro Angel D. La Paz Aragonés Airport,Santiago Del Estero,SDE,SANE,-27.7656,-64.31
Tinogasta Airport,Tinogasta,,SANI,-28.0378,-67.5803
Capitan V A Almonacid Airport,La Rioja,IRJ,SANL,-29.3816,-66.7958
Chilecito Airport,Chilecito,,SANO,-29.2239,-67.4389
Teniente Benjamin Matienzo Airport,Tucuman,TUC,SANT,-26.8409,-65.1049
Domingo Faustino Sarmiento Airport,San Julian,UAQ,SANU,-31.5715,-68.4182
Area De Material Airport,Rio Cuarto,RCU,SAOC,-33.0851,-64.2613
Villa Dolores Airport,Villa Dolores,VDR,SAOD,-31.9452,-65.1463
La Quiaca Airport,Laboulaye,,SAOL,-22.1506,-65.5775
Marcos Juarez Airport,Marcos Juarez,,SAOM,-32.6836,-62.1578
Villa Reynolds Airport,Villa Reynolds,,SAOR,-33.7299,-65.3874
Brigadier Mayor D Cesar Raul Ojeda Airport,San Luis,LUQ,SAOU,-33.2732,-66.3564
Corrientes Airport,Corrientes,CNQ,SARC,-27.4455,-58.7619
Resistencia International Airport,Resistencia,RES,SARE,-27.45,-59.0561
Formosa Airport,Formosa,FMA,SARF,-26.2127,-58.2281
Cataratas Del Iguazú International Airport,Iguazu Falls,IGR,SARI,-25.7373,-54.4734
Paso De Los Libres Airport,Paso De Los Libres,AOL,SARL,-29.6894,-57.1521
Monte Caseros Airport,Monte Caseros,,SARM,-30.2719,-57.6402
Libertador Gral D Jose De San Martin Airport,Posadas,PSS,SARP,-27.3858,-55.9707
Martin Miguel De Guemes International Airport,Salta,SLA,SASA,-24.856,-65.4862
Gobernador Horacio Guzman International Airport,Jujuy,JUJ,SASJ,-24.3928,-65.0978
Orán Airport,Oran,ORA,SASO,-23.1528,-64.3292
Laboulaye Airport,La Quiaca,,SASQ,-34.1354,-63.3623
El Dorado Airport,El Dorado,,SATD,-26.3975,-54.5747
Goya Airport,Goya,,SATG,-29.1058,-59.2189
Oberá Airport,Obera,,SATO,-27.5182,-55.1242
Reconquista Airport,Reconquista,,SATR,-29.2103,-59.68
Curuzu Cuatia Airport,Curuzu Cuatia,,SATU,-29.7706,-57.9789
El Bolson Airport,El Bolson,EHL,SAVB,-41.9432,-71.5323
General E. Mosconi Airport,Comodoro Rivadavia,CRD,SAVC,-45.7853,-67.4655
Brigadier Antonio Parodi Airport,Esquel,EQS,SAVE,-42.908,-71.1395
Almirante Marco Andres Zar Airport,Trelew,REL,SAVT,-43.2105,-65.2703
Gobernador Castello Airport,Viedma,VDM,SAVV,-40.8692,-63.0004
El Tehuelche Airport,Puerto Madryn,PMY,SAVY,-42.7592,-65.1027
Puerto Deseado Airport,Puerto Deseado,PUD,SAWD,-47.7353,-65.9041
Hermes Quijada International Airport,Rio Grande,RGA,SAWE,-53.7777,-67.7494
Piloto Civil N. Fernández Airport,Rio Gallegos,RGL,SAWG,-51.6089,-69.3126
Malvinas Argentinas Airport,Ushuaia,USH,SAWH,-54.8433,-68.2958
Capitan D Daniel Vazquez Airport,San Julian,ULA,SAWJ,-49.3068,-67.8026
Perito Moreno Airport,Perito Moreno,PMQ,SAWP,-46.5379,-70.9787
Santa Cruz Airport,Santa Cruz,RZA,SAWU,-50.0165,-68.5792
Comandante Espora Airport,Bahia Blanca,BHI,SAZB,-38.725,-62.1693
Brigadier D.H.E. Ruiz Airport,Colonel Suarez,,SAZC,-37.4461,-61.8893
Olavarria Airport,Olavarria,,SAZF,-36.89,-60.2166
General Pico Airport,General Pico,,SAZG,-35.6962,-63.7583
Tres Arroyos Airport,Tres Arroyos,,SAZH,-38.3869,-60.3297
Bolivar Airport,Bolivar,,SAZI,-36.1866,-61.0764
Ástor Piazzola International Airport,Mar Del Plata,MDQ,SAZM,-37.9342,-57.5733
Presidente Peron Airport,Neuquen,NQN,SAZN,-38.949,-68.1557
Comodoro Pedro Zanni Airport,Pehuajo,,SAZP,-35.8446,-61.8576
Santa Rosa Airport,Santa Rosa,RSA,SAZR,-36.5883,-64.2757
San Carlos De Bariloche Airport,San Carlos De Bariloche,BRC,SAZS,-41.1512,-71.1575
Héroes De Malvinas Airport,Tandil,TDL,SAZT,-37.2374,-59.2279
Villa Gesell Airport,Villa Gesell,VLG,SAZV,-37.2354,-57.0292
Cutral-Co Airport,Cutralco,,SAZW,-38.9397,-69.2646
Aviador C. Campos Airport,San Martin Des Andes,CPC,SAZY,-40.0754,-71.1373
Ministro Pistarini International Airport,Buenos Aires,EZE,SAEZ,-34.8222,-58.5358
El Calafate Airport,El Calafate,FTE,SAWC,-50.2803,-72.0531
General Enrique Mosconi Airport,Tartagal,TTG,SAST,-22.6196,-63.7937
Las Heras Airport,Las Heras,LHS,SAVH,-46.5383,-68.9653
Antoine De St Exupery Airport,San Antonio Oeste,OES,SAVN,-40.7512,-65.0343
Lago Argentino Airport,El Calafate,ING,SAWA,-50.3361,-72.2486
Gobernador Gregores Airport,Gobernador Gregores,GGS,SAWR,-48.7831,-70.15
Santa Teresita Airport,Santa Teresita,SST,SAZL,-36.5423,-56.7218
Necochea Airport,Necochea,NEC,SAZO,-38.4831,-58.8172
Zapala Airport,ZAPALA,APZ,SAHZ,-38.9755,-70.1136
Rincon De Los Sauces Airport,Rincon de los Sauces,RDS,SAHS,-37.3906,-68.9042
Sierra Grande Airport,Sierra Grande,SGV,SAVS,-41.5917,-65.3394
Cabo F.A.A. H. R. Bordón Airport,Ingeniero Jacobacci,IGB,SAVJ,-41.3209,-69.5749
D. Casimiro Szlapelis Airport,Alto Rio Senguer,ARR,SAVR,-45.0136,-70.8122
Jose De San Martin Airport,Jose de San Martin,JSM,SAWS,-44.0486,-70.4589
Termas de Río Hondo international Airport,Rio Hondo,RHD,SANR,-27.4966,-64.936
Tolwin Observatory Airport,Tolhuin,,SAWL,-54.5219,-67.199
Presidente Néstor Kirchner Regionsl Airport,Villa Maria,VMR,SAOV,-32.3201,-63.2266
Erebuni Airport,Yerevan,,UDYE,40.1221,44.465
Stepanavan Airport,Stepanavan,,UDLS,41.0485,44.3372
Zvartnots International Airport,Yerevan,EVN,UDYZ,40.1473,44.3959
Gyumri Shirak Airport,Gyumri,LWN,UDSG,40.7504,43.8593
Dzhermuk Airport,Dzhermuk,,UGEJ,39.824,45.674
Queen Beatrix International Airport,Oranjestad,AUA,TNCA,12.5014,-70.0152
Brisbane Archerfield Airport,Brisbane,,YBAF,-27.5703,153.008
Northern Peninsula Airport,Amberley,ABM,YBAM,-10.9508,142.459
Alice Springs Airport,Alice Springs,ASP,YBAS,-23.8067,133.902
Brisbane International Airport,Brisbane,BNE,YBBN,-27.3842,153.117
Gold Coast Airport,Coolangatta,OOL,YBCG,-28.1644,153.505
Cairns International Airport,Cairns,CNS,YBCS,-16.8858,145.755
Charleville Airport,Charlieville,CTL,YBCV,-26.4133,146.262
Mount Isa Airport,Mount Isa,ISA,YBMA,-20.6639,139.489
Sunshine Coast Airport,Maroochydore,MCY,YBMC,-26.6033,153.091
Mackay Airport,Mackay,MKY,YBMK,-21.1717,149.18
Proserpine Whitsunday Coast Airport,Prosserpine,PPP,YBPN,-20.495,148.552
Rockhampton Airport,Rockhampton,ROK,YBRK,-23.3819,150.475
Townsville Airport,Townsville,TSV,YBTL,-19.2525,146.765
Weipa Airport,Weipa,WEI,YBWP,-12.6786,141.925
Avalon Airport,Avalon,AVV,YMAV,-38.0394,144.469
Albury Airport,Albury,ABX,YMAY,-36.0678,146.958
Melbourne Essendon Airport,Melbourne,MEB,YMEN,-37.7281,144.902
RAAF Base East Sale,East Sale,,YMES,-38.0989,147.149
Hobart International Airport,Hobart,HBA,YMHB,-42.8361,147.51
Launceston Airport,Launceston,LST,YMLT,-41.5453,147.214
Melbourne Moorabbin Airport,Melbourne,MBW,YMMB,-37.9758,145.102
Melbourne International Airport,Melbourne,MEL,YMML,-37.6733,144.843
"RAAF Williams, Point Cook Base",Point Cook,,YMPC,-37.9322,144.753
Adelaide International Airport,Adelaide,ADL,YPAD,-34.945,138.531
RAAF Base Edinburgh,Edinburgh,,YPED,-34.7025,138.621
Perth Jandakot Airport,Perth,JAD,YPJT,-32.0975,115.881
Karratha Airport,Karratha,KTA,YPKA,-20.7122,116.773
Kalgoorlie Boulder Airport,Kalgoorlie,KGI,YPKG,-30.7894,121.462
Kununurra Airport,Kununurra,KNX,YPKU,-15.7781,128.708
Learmonth Airport,Learmonth,LEA,YPLM,-22.2356,114.089
Port Hedland International Airport,Port Hedland,PHE,YPPD,-20.3778,118.626
Adelaide Parafield Airport,Adelaide,,YPPF,-34.7933,138.633
Perth International Airport,Perth,PER,YPPH,-31.9403,115.967
Woomera Airfield,Woomera,UMR,YPWR,-31.1442,136.817
Sydney Bankstown Airport,Sydney,BWU,YSBK,-33.9244,150.988
Canberra International Airport,Canberra,CBR,YSCB,-35.3069,149.195
Coffs Harbour Airport,Coff's Harbour,CFS,YSCH,-30.3206,153.116
Camden Airport,Camden,CDU,YSCN,-34.0403,150.687
Dubbo City Regional Airport,Dubbo,DBO,YSDU,-32.2167,148.575
RAAF Base Richmond,Richmond,,YSRI,-33.6006,150.781
Sydney Kingsford Smith International Airport,Sydney,SYD,YSSY,-33.9461,151.177
Tamworth Airport,Tamworth,TMW,YSTW,-31.0839,150.847
Wagga Wagga City Airport,Wagga Wagga,WGA,YSWG,-35.1653,147.466
Emerald Airport,Emerald,EMD,YEML,-23.5675,148.179
Darwin International Airport,Darwin,DRW,YPDN,-12.4147,130.877
Ayers Rock Connellan Airport,Uluru,AYQ,YAYE,-25.1861,130.976
Kingscote Airport,Kingscote,KGC,YKSC,-35.7139,137.521
Hervey Bay Airport,Hervey Bay,HVB,YHBA,-25.3189,152.88
Armidale Airport,Armidale,ARM,YARM,-30.5281,151.617
Blackall Airport,Blackall,BKQ,YBCK,-24.4278,145.429
Bundaberg Airport,Bundaberg,BDB,YBUD,-24.9039,152.319
Hayman Island Heliport,Hayman Island,HIS,YHYN,-20.0599,148.8834
Thangool Airport,Biloela,THG,YTNG,-24.4939,150.576
Ballina Byron Gateway Airport,Ballina Byron Bay,BNK,YBNA,-28.8339,153.562
Broome International Airport,Broome,BME,YBRM,-17.9447,122.232
Newcastle Airport,Newcastle,NTL,YWLM,-32.795,151.834
Albany Airport,Albany,ALH,YABA,-34.9433,117.809
Argyle Airport,Argyle,GYL,YARG,-16.6369,128.451
Aurukun Airport,Aurukun,AUU,YAUR,-13.3541,141.7207
Barcaldine Airport,Barcaldine,BCI,YBAR,-23.5653,145.307
Badu Island Airport,Badu Island,BDD,YBAU,-10.15,142.1734
Birdsville Airport,Birdsville,BVI,YBDV,-25.8975,139.348
Broken Hill Airport,Broken Hill,BHQ,YBHI,-32.0014,141.472
Hamilton Island Airport,Hamilton Island,HTI,YBHM,-20.3581,148.952
Bedourie Airport,Bedourie,BEU,YBIE,-24.3461,139.46
Bourke Airport,Bourke,BRK,YBKE,-30.0392,145.952
Burketown Airport,Burketown,BUC,YBKT,-17.7486,139.534
Boigu Airport,Boigu,GIC,YBOI,-9.2328,142.218
Oakey Airport,Oakey,OKY,YBOK,-27.4114,151.735
Boulia Airport,Boulia,BQL,YBOU,-22.9133,139.9
Bathurst Airport,Bathurst,BHS,YBTH,-33.4094,149.652
Blackwater Airport,Blackwater,BLT,YBTR,-23.6031,148.807
Carnarvon Airport,Carnarvon,CVQ,YCAR,-24.8802,113.6717
Cobar Airport,Cobar,CAZ,YCBA,-31.5383,145.794
Coober Pedy Airport,Coober Pedy,CPD,YCBP,-29.04,134.721
Coconut Island Airport,Coconut Island,CNC,YCCT,-10.05,143.07
Cloncurry Airport,Cloncurry,CNJ,YCCY,-20.6686,140.504
Ceduna Airport,Ceduna,CED,YCDU,-32.1306,133.71
Cooktown Airport,Cooktown,CTN,YCKN,-15.4447,145.184
Cunnamulla Airport,Cunnamulla,CMA,YCMU,-28.03,145.622
Coonamble Airport,Coonamble,CNB,YCNM,-30.9833,148.376
Coen Airport,Coen,CUQ,YCOE,-13.7611,143.1133
Cooma Snowy Mountains Airport,Cooma,OOM,YCOM,-36.3006,148.974
Doomadgee Airport,Doomadgee,DMD,YDMG,-17.9403,138.822
Darnley Island Airport,Darnley Island,NLF,YDNI,-9.5833,143.767
Devonport Airport,Devonport,DPO,YDPO,-41.1697,146.43
Elcho Island Airport,Elcho Island,ELC,YELD,-12.0194,135.571
Esperance Airport,Esperance,EPR,YESP,-33.6844,121.823
Flinders Island Airport,Flinders Island,FLS,YFLI,-40.0917,147.993
Geraldton Airport,Geraldton,GET,YGEL,-28.7961,114.707
Gladstone Airport,Gladstone,GLT,YGLA,-23.8697,151.223
Groote Eylandt Airport,Groote Eylandt,GTE,YGTE,-13.975,136.46
Griffith Airport,Griffith,GFF,YGTH,-34.2508,146.067
Horn Island Airport,Horn Island,HID,YHID,-10.5864,142.29
Hooker Creek Airport,Hooker Creek,HOK,YHOO,-18.3367,130.638
Mount Hotham Airport,Mount Hotham,MHU,YHOT,-37.0475,147.334
Hughenden Airport,Hughenden,HGD,YHUG,-20.815,144.225
Julia Creek Airport,Julia Creek,JCK,YJLC,-20.6683,141.723
Kalbarri Airport,Kalbarri,KAX,YKBR,-27.6928,114.2592
King Island Airport,King Island,KNS,YKII,-39.8775,143.878
Kalkgurung Airport,Kalkgurung,KFG,YKKG,-17.4319,130.808
Karumba Airport,Karumba,KRB,YKMB,-17.4567,140.83
Kowanyama Airport,Kowanyama,KWM,YKOW,-15.4856,141.751
Kubin Airport,Kubin,KUG,YKUB,-10.225,142.218
Leonora Airport,Leonora,LNO,YLEO,-28.8781,121.315
Lake Evella Airport,Lake Evella,LEL,YLEV,-12.4989,135.806
Lord Howe Island Airport,Lord Howe Island,LDH,YLHI,-31.5383,159.077
Lockhart River Airport,Lockhart River,IRG,YLHR,-12.7869,143.305
Lismore Airport,Lismore,LSY,YLIS,-28.8303,153.26
Lightning Ridge Airport,Lightning Ridge,LHG,YLRD,-29.4567,147.984
Longreach Airport,Longreach,LRE,YLRE,-23.4342,144.28
Leinster Airport,Leinster,LER,YLST,-27.8433,120.703
Laverton Airport,Laverton,LVO,YLTN,-28.6136,122.424
Mabuiag Island Airport,Mabuiag Island,UBB,YMAA,-9.95,142.183
Meekatharra Airport,Meekatharra,MKR,YMEK,-26.6117,118.548
Merimbula Airport,Merimbula,MIM,YMER,-36.9086,149.901
Milingimbi Airport,Milingimbi,MGT,YMGB,-12.0944,134.894
Maningrida Airport,Maningrida,MNG,YMGD,-12.0561,134.234
McArthur River Mine Airport,McArthur River Mine,MCV,YMHU,-16.4425,136.084
Mildura Airport,Mildura,MQL,YMIA,-34.2292,142.086
Mount Magnet Airport,Mount Magnet,MMG,YMOG,-28.1161,117.842
Moree Airport,Moree,MRZ,YMOR,-29.4989,149.845
Moranbah Airport,Moranbah,MOV,YMRB,-22.0578,148.077
Moruya Airport,Moruya,MYA,YMRY,-35.8978,150.144
Mount Gambier Airport,Mount Gambier,MGB,YMTG,-37.7456,140.785
Mornington Island Airport,Mornington Island,ONG,YMTI,-16.6625,139.178
Murray Island Airport,Murray Island,MYI,YMUI,-9.9167,144.055
Maryborough Airport,Maryborough,MBH,YMYB,-25.5133,152.715
Narrandera Airport,Narrandera,NRA,YNAR,-34.7022,146.512
Narrabri Airport,Narrabri,NAA,YNBR,-30.3192,149.827
Normanton Airport,Normanton,NTN,YNTN,-17.6841,141.0697
Newman Airport,Newman,ZNE,YNWN,-23.4178,119.803
Olympic Dam Airport,Olympic Dam,OLP,YOLD,-30.485,136.877
Port Augusta Airport,Argyle,PUG,YPAG,-32.5069,137.717
Palm Island Airport,Palm Island,PMK,YPAM,-18.7553,146.581
Paraburdoo Airport,Paraburdoo,PBO,YPBO,-23.1711,117.745
Gove Airport,Gove,GOV,YPGV,-12.2694,136.818
Parkes Airport,Parkes,PKE,YPKS,-33.1314,148.239
Port Lincoln Airport,Port Lincoln,PLO,YPLC,-34.6053,135.88
Pormpuraaw Airport,Pormpuraaw,EDR,YPMP,-14.8965,141.6091
Port Macquarie Airport,Port Macquarie,PQQ,YPMQ,-31.4358,152.863
Portland Airport,Portland,PTJ,YPOD,-38.3181,141.471
Quilpie Airport,Quilpie,ULP,YQLP,-26.6122,144.253
Ramingining Airport,Ramingining,RAM,YRNG,-12.3564,134.898
Roma Airport,Roma,RMA,YROM,-26.545,148.775
St George Airport,St George,SGO,YSGE,-28.0497,148.595
Shark Bay Airport,Shark Bay,MJK,YSHK,-25.8939,113.577
Saibai Island Airport,Saibai Island,SBR,YSII,-9.3783,142.625
Strahan Airport,Strahan,SRN,YSRN,-42.155,145.292
Thargomindah Airport,Thargomindah,XTG,YTGM,-27.9864,143.811
Tennant Creek Airport,Tennant Creek,TCA,YTNK,-19.6344,134.183
Victoria River Downs Airport,Victoria River Downs,VCD,YVRD,-16.4021,131.005
Warraber Island Airport,Sue Islet,SYU,YWBS,-10.2083,142.825
Windorah Airport,Windorah,WNR,YWDH,-25.4131,142.667
Whyalla Airport,Whyalla,WYA,YWHA,-33.0589,137.514
Wiluna Airport,Wiluna,WUN,YWLU,-26.6292,120.221
Wollongong Airport,Wollongong,WOL,YWOL,-34.5611,150.789
Winton Airport,Winton,WIN,YWTN,-22.3636,143.086
Wynyard Airport,Burnie,BWT,YWYY,-40.9989,145.731
Yorke Island Airport,Yorke Island,OKR,YYKI,-9.7528,143.4057
Yam Island Airport,Yam Island,XMY,YYMI,-9.9011,142.776
Mount Keith Airport,Mount Keith,WME,YMNE,-27.2864,120.555
Grafton Airport,Grafton,GFN,YGFN,-29.7594,153.03
Orange Airport,Orange,OAG,YORG,-33.3817,149.133
Taree Airport,Taree,TRO,YTRE,-31.8886,152.514
Goulburn Airport,Goulburn,GUL,YGLB,-34.8103,149.726
Cessnock Airport,Cessnock,CES,YCNK,-32.7875,151.342
Scone Airport,Scone,NSO,YSCO,-32.0372,150.832
Mudgee Airport,Mudgee,DGE,YMDG,-32.5625,149.611
Maitland Airport,Maitland,MTL,YMND,-32.7033,151.488
Oceanside Municipal Airport,Fraser Island,OKB,KOKB,33.2173,-117.354
Bungle Bungle Airport,Bungle Bungle,,YBUU,-17.5453,128.307
Whitsunday Island Airport,Airlie Beach,WSY,YWHI,-20.2761,148.755
RAAF Base Amberley,Amberley,,YAMB,-27.6406,152.712
Tindal Airport,Katherine,KTR,YPTN,-14.5211,132.378
"RAAF Williams, Laverton Base",Laverton,,YLVT,-37.8636,144.746
Nowra Airport,Nowra,NOA,YSNW,-34.9489,150.537
RAAF Base Pearce,Perth,,YPEA,-31.6678,116.015
Bendigo Airport,Bendigo,,YBDG,-36.7394,144.33
Toowoomba Airport,Toowoomba,TWB,YTWB,-27.5428,151.916
Ballera Airport,Ballera,,YLLE,-27.4056,141.8095
Gatton Campus Airport,Gatton,,YGAT,-27.5604,152.3405
Barrow Island Airport,Barrow Island,BWB,YBWX,-20.8644,115.406
